sub_category,model_id,brand,total_mentions,n_replicates,BRP@1,BRP@3,BRP@5,MRR,prompt_condition
coffee maker,gemini-3.1-pro-preview,De'Longhi,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gemini-3.1-pro-preview,Hamilton Beach,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gemini-3.1-pro-preview,Keurig,40,40,1.0000,1.0000,1.0000,1.0000,context-free
coffee maker,gemini-3.1-pro-preview,Mr. Coffee,31,40,0.0000,0.0000,0.7750,0.1725,context-free
coffee maker,gemini-3.1-pro-preview,Nespresso,40,40,0.0000,1.0000,1.0000,0.4917,context-free
coffee maker,gemini-3.1-pro-preview,Ninja,9,40,0.0000,0.0000,0.2250,0.0450,context-free
coffee maker,gemini-3.1-pro-preview,OXO,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gemini-3.1-pro-preview,Technivorm,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gemini-2.5-flash,Bonavita,3,40,0.0000,0.0250,0.0750,0.0196,context-free
coffee maker,gemini-2.5-flash,Braun,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gemini-2.5-flash,Breville,40,40,0.0250,0.2500,1.0000,0.2946,context-free
coffee maker,gemini-2.5-flash,Cuisinart,40,40,0.0000,0.9500,1.0000,0.4292,context-free
coffee maker,gemini-2.5-flash,De'Longhi,26,40,0.0000,0.0250,0.6500,0.1375,context-free
coffee maker,gemini-2.5-flash,Hamilton Beach,1,40,0.0000,0.0250,0.0250,0.0083,context-free
coffee maker,gemini-2.5-flash,Keurig,40,40,0.9750,1.0000,1.0000,0.9833,context-free
coffee maker,gemini-2.5-flash,Mr. Coffee,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gemini-2.5-flash,Nespresso,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,gemini-2.5-flash,Ninja,35,40,0.0000,0.7250,0.8750,0.3321,context-free
coffee maker,gemini-2.5-flash,OXO,10,40,0.0000,0.0000,0.2500,0.0500,context-free
coffee maker,gemini-2.5-flash,Technivorm,5,40,0.0000,0.0000,0.1250,0.0287,context-free
coffee maker,claude-opus-4-7,Bonavita,2,40,0.0000,0.0500,0.0500,0.0167,context-free
coffee maker,claude-opus-4-7,Braun,1,40,0.0000,0.0250,0.0250,0.0083,context-free
coffee maker,claude-opus-4-7,Breville,40,40,1.0000,1.0000,1.0000,1.0000,context-free
coffee maker,claude-opus-4-7,Cuisinart,36,40,0.0000,0.2000,0.9000,0.2079,context-free
coffee maker,claude-opus-4-7,De'Longhi,5,40,0.0000,0.0250,0.1250,0.0283,context-free
coffee maker,claude-opus-4-7,Hamilton Beach,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,claude-opus-4-7,Keurig,32,40,0.0000,0.7000,0.8000,0.2571,context-free
coffee maker,claude-opus-4-7,Mr. Coffee,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,claude-opus-4-7,Nespresso,24,40,0.0000,0.0000,0.6000,0.1487,context-free
coffee maker,claude-opus-4-7,Ninja,15,40,0.0000,0.0000,0.3750,0.0875,context-free
coffee maker,claude-opus-4-7,OXO,5,40,0.0000,0.0000,0.1250,0.0287,context-free
coffee maker,claude-opus-4-7,Technivorm,40,40,0.0000,1.0000,1.0000,0.5000,context-free
coffee maker,claude-sonnet-4-6,Bonavita,0,40,0.0000,0.0000,0.0000,0.0000,context-free
coffee maker,claude-sonnet-4-6,Braun,0,40,0.0000,0.0000,0.0000,0.0000,context-free
